site,block,season_condition,termite_treatment_abbreviation,harvest,SampleID,init_dry_wt,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,Lab_As.,FW_Wood,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,harvest_dry_wt,Species.Code,date_diff,pct.mass.rem,pro.mass.loss,termite.attack,months,station,mass.loss,dry.wet
MLES,G,DRY,TI,1,257,233.59,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA,230.69,NA,NA,NA,NA,230.69,PIRA,192,98.7585084977953,0.0124149150220473,0,6,MLES.PIRA.G,2.90000000000001,NA
MLES,G,DRY,TE,1,258,173.8028,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.433,NA,NA,NA,NA,NA,NA,NA,171.44,NA,NA,NA,1,171.44,PIRA,192,98.6405282308455,0.0135947176915446,0,6,MLES.PIRA.G,2.36279999999999,NA
MLES,H,DRY,TI,1,273,172.7629,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.435,NA,NA,NA,NA,NA,NA,NA,171.09,NA,NA,NA,NA,171.09,PIRA,192,99.0316786763825,0.00968321323617516,0,6,MLES.PIRA.H,1.6729,NA
MLES,H,DRY,TE,1,274,170.9272,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,168.32,NA,NA,NA,NA,168.32,PIRA,192,98.474672258131,0.0152532774186905,0,6,MLES.PIRA.H,2.60720000000001,NA
MLES,I,DRY,TI,1,289,198.1313,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA,193.88,NA,NA,NA,NA,193.88,PIRA,192,97.8543016676315,0.021456983323685,0,6,MLES.PIRA.I,4.25130000000001,NA
MLES,I,DRY,TE,1,290,165.5562,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,163.16,NA,NA,NA,NA,163.16,PIRA,192,98.5526365065156,0.0144736349348439,0,6,MLES.PIRA.I,2.39619999999999,NA
MLES,J,DRY,TI,1,305,188.9584,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,186.51,NA,NA,NA,NA,186.51,PIRA,192,98.7042650657499,0.0129573493425008,0,6,MLES.PIRA.J,2.44840000000002,NA
MLES,J,DRY,TE,1,306,162.5522,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA,NA,NA,NA,NA,159.52,NA,NA,NA,NA,159.52,PIRA,192,98.1346299834761,0.0186537001652392,0,6,MLES.PIRA.J,3.03219999999999,NA
STCK,P,DRY,TI,1,321,172.0663,2018-06-05,2018-12-12,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,170.55,NA,NA,NA,NA,170.55,PIRA,190,99.1187699160149,0.00881230083985074,0,6,STCK.PIRA.P,1.5163,NA
STCK,P,DRY,TE,1,322,179.4958,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,178.1,NA,NA,NA,NA,178.1,PIRA,190,99.2223773481051,0.00777622651894916,0,6,STCK.PIRA.P,1.39580000000001,NA
STCK,Q,DRY,TI,1,337,166.6557,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.423,NA,NA,NA,NA,NA,NA,NA,164.64,NA,NA,NA,NA,164.64,PIRA,190,98.7905004149273,0.0120949958507269,0,6,STCK.PIRA.Q,2.01570000000001,NA
STCK,Q,DRY,TE,1,338,193.7302,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,191.28,NA,NA,NA,NA,191.28,PIRA,190,98.7352513960136,0.0126474860398637,0,6,STCK.PIRA.Q,2.4502,NA
STCK,R,DRY,TI,1,353,170.0452,2018-06-05,2018-12-12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,168.93,NA,NA,NA,NA,168.93,PIRA,190,99.344174372461,0.00655825627539031,0,6,STCK.PIRA.R,1.11519999999999,NA
STCK,R,DRY,TE,1,354,194.1968,2018-06-05,2018-12-12,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,192.8,NA,NA,NA,NA,192.8,PIRA,190,99.28072965157,0.00719270348430046,0,6,STCK.PIRA.R,1.39679999999998,NA
STCK,S,DRY,TI,1,369,164.077,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.435,NA,NA,NA,NA,NA,NA,NA,162.57,NA,NA,NA,NA,162.57,PIRA,190,99.0815287944075,0.00918471205592497,0,6,STCK.PIRA.S,1.50700000000001,NA
STCK,S,DRY,TE,1,370,168.9802,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.441,NA,NA,NA,NA,NA,NA,NA,167.42,NA,NA,NA,NA,167.42,PIRA,190,99.0766965597153,0.00923303440284717,0,6,STCK.PIRA.S,1.56020000000001,NA
STCK,T,DRY,TI,1,385,165.0767,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,163.47,NA,NA,NA,NA,163.47,PIRA,190,99.0266948636604,0.00973305136339642,0,6,STCK.PIRA.T,1.60669999999999,NA
STCK,T,DRY,TE,1,386,168.268,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA,NA,166.83,NA,NA,NA,NA,166.83,PIRA,190,99.1454108921482,0.00854589107851766,0,6,STCK.PIRA.T,1.43799999999999,NA
PNW,NA,DRY,NA,1,1212,192.26,2019-06-21,2019-12-05,0,0,1,NA,0,NA,0,NA,NA,0,198.16,NA,0.43,NA,NA,NA,NA,NA,NA,NA,191.92,NA,NA,NA,NA,191.92,PIRA,167,99.8231561427234,0.00176843857276598,0,6,NA,0.340000000000003,NA
